,location,total_sqft,bath,price,bhk
918,Battarahalli,1779.0,3.0,89.61,3
920,Battarahalli,1945.0,3.0,97.42,3
921,Battarahalli,1777.0,3.0,100.0,3
924,Battarahalli,1880.0,3.0,94.36,3
925,Battarahalli,1071.0,2.0,62.0,2
927,Battarahalli,1636.0,2.0,82.89,2
928,Battarahalli,1779.0,3.0,90.0,3
931,Battarahalli,2082.0,3.0,104.0,3
932,Battarahalli,2024.0,3.0,103.0,3
933,Battarahalli,1097.0,2.0,49.0,2
936,Begur,1580.0,3.0,75.0,3
939,Begur,1475.0,2.0,74.0,3
940,Begur,3500.0,4.0,185.0,3
941,Begur,1100.0,2.0,55.0,2
942,Begur,1306.0,2.0,65.0,2
943,Begur,1304.0,3.0,65.0,3
945,Begur,815.0,2.0,40.0,2
946,Begur,1443.0,2.0,70.0,3
947,Begur Road,1200.0,2.0,44.0,2
948,Begur Road,1200.0,2.0,46.8,2
949,Begur Road,1160.0,2.0,44.0,2
950,Begur Road,1584.0,3.0,65.0,3
954,Begur Road,1160.0,2.0,44.08,2
955,Begur Road,1200.0,2.0,45.0,2
957,Begur Road,1410.0,2.0,53.0,3
960,Begur Road,1260.0,2.0,46.62,2
963,Begur Road,1500.0,2.0,70.0,3
969,Begur Road,1583.0,3.0,74.4,3
970,Begur Road,1170.0,2.0,46.0,2
971,Begur Road,1160.0,2.0,42.92,2
973,Begur Road,1565.0,2.0,59.76,3
975,Begur Road,1410.0,2.0,53.58,3
979,Begur Road,1200.0,2.0,45.6,2
981,Begur Road,1444.0,2.0,71.5,3
984,Begur Road,1200.0,2.0,44.4,2
987,Begur Road,2464.5,6.0,118.0,4
989,Begur Road,952.0,2.0,42.0,2
993,Begur Road,1240.0,2.0,45.88,2
994,Begur Road,1200.0,3.0,50.0,3
996,Begur Road,1100.0,2.0,42.6,2
997,Begur Road,644.0,1.0,32.0,1
998,Begur Road,2500.0,6.0,122.5,4
1000,Begur Road,1200.0,2.0,44.73,2
1001,Begur Road,1410.0,2.0,54.99,3
1002,Bellandur,1767.0,3.0,103.0,3
1003,Bellandur,1205.0,2.0,66.0,2
1004,Bellandur,1250.0,2.0,76.0,2
1006,Bellandur,1281.0,2.0,74.0,2
1009,Bellandur,1490.0,2.0,98.0,3
1011,Bellandur,2039.0,3.0,168.0,3
1015,Bellandur,1299.0,2.0,82.0,2
1016,Bellandur,900.0,2.0,56.0,2
1017,Bellandur,1350.0,2.0,79.0,2
1019,Bellandur,3016.0,4.0,230.0,4
1020,Bellandur,1457.0,2.0,85.0,2
1022,Bellandur,1050.0,2.0,72.0,2
1023,Bellandur,3600.0,4.0,260.0,4
1024,Bellandur,1310.0,2.0,72.0,2
1026,Bellandur,1785.0,3.0,118.0,3
1027,Bellandur,1051.0,2.0,60.0,2
1029,Bellandur,1060.0,2.0,65.0,2
1030,Bellandur,1100.0,2.0,62.0,2
1033,Bellandur,1685.0,3.0,100.0,3
1034,Bellandur,982.0,2.0,55.0,2
1037,Bellandur,1063.0,2.0,58.0,2
1040,Bellandur,1281.0,2.0,87.0,2
1043,Bellandur,1785.0,3.0,120.0,3
1045,Bellandur,1310.0,2.0,85.0,2
1047,Bellandur,1465.0,3.0,90.0,2
1048,Bellandur,1767.0,3.0,109.0,3
1049,Bellandur,3600.0,4.0,245.0,4
1051,Bellandur,1150.0,2.0,69.44,2
1054,Bellandur,1410.0,3.0,92.0,2
1056,Bellandur,1015.0,2.0,60.0,2
1058,Bellandur,1685.0,3.0,101.0,3
1059,Bellandur,1735.0,3.0,105.0,3
1060,Bellandur,1685.0,3.0,115.0,3
1061,Bellandur,1846.0,3.0,135.0,3
1064,Bellandur,1211.0,2.0,63.0,2
1065,Bellandur,1717.0,3.0,110.0,3
1075,Bellandur,1690.0,2.0,116.0,3
1076,Bellandur,950.0,1.0,40.0,1
1077,Bellandur,850.0,2.0,45.0,2
1078,Bellandur,1454.0,2.0,90.0,2
1081,Bellandur,1435.0,2.0,115.0,3
1083,Bellandur,1260.0,2.0,83.5,2
1084,Bellandur,1535.0,3.0,90.0,3
1085,Bellandur,1047.0,2.0,75.0,2
1088,Benson Town,3200.0,4.0,350.0,3
1089,Benson Town,4460.0,5.0,650.0,4
1090,Benson Town,2850.0,4.0,470.0,3
1091,Benson Town,1300.0,2.0,120.0,2
1092,Benson Town,1567.0,3.0,140.0,2
1093,Benson Town,3633.0,6.0,550.0,4
1094,Benson Town,1688.12,2.0,270.0,2
1095,Benson Town,1805.0,3.0,280.0,3
1096,Benson Town,1688.0,2.0,280.0,2
1097,Bharathi Nagar,1322.0,2.0,68.0,2
1098,Bharathi Nagar,1351.0,2.0,70.0,2
1100,Bharathi Nagar,1351.0,2.0,74.0,2
1104,Bharathi Nagar,1328.0,2.0,69.0,2
1111,Bhoganhalli,1700.0,3.0,126.0,3
1115,Bhoganhalli,1760.0,3.0,127.0,3
1116,Bhoganhalli,1949.0,3.0,129.0,3
1117,Bhoganhalli,1760.0,3.0,128.0,3
1118,Bhoganhalli,2439.0,4.0,185.0,4
1121,Bhoganhalli,2439.0,4.0,190.0,4
1122,Bhoganhalli,2439.0,5.0,170.0,4
1123,Bhoganhalli,1205.0,2.0,68.32,2
1124,Bhoganhalli,1260.0,2.0,69.9,2
1125,Bhoganhalli,2439.0,4.0,170.0,4
1126,Bhoganhalli,1707.0,3.0,115.0,3
1128,Bhoganhalli,1277.0,2.0,79.89,2
1129,Bhoganhalli,1703.0,3.0,120.0,3
1135,Billekahalli,2400.0,3.0,150.0,3
1136,Billekahalli,2968.0,3.0,225.0,3
1137,Billekahalli,950.0,2.0,58.11,2
1138,Billekahalli,1360.0,2.0,110.0,2
1142,Billekahalli,1805.0,3.0,134.0,3
1144,Binny Pete,665.0,1.0,50.75,1
1145,Binny Pete,2465.0,5.0,234.0,3
1147,Binny Pete,1245.0,2.0,86.28,2
1148,Binny Pete,660.0,1.0,54.0,1
1149,Binny Pete,1350.0,2.0,91.0,2
1150,Binny Pete,665.0,1.0,46.08,1
1151,Binny Pete,660.0,1.0,62.0,1
1152,Binny Pete,1365.0,2.0,122.0,2
1153,Binny Pete,2940.0,6.0,280.0,4
1155,Binny Pete,1740.0,3.0,150.0,3
1158,Binny Pete,1516.0,3.0,147.0,3
1159,Bisuvanahalli,1180.0,3.0,48.0,3
1161,Bisuvanahalli,1075.0,2.0,46.0,3
1164,Bisuvanahalli,1075.0,2.0,45.0,3
1166,Bisuvanahalli,845.0,2.0,33.0,2
1167,Bisuvanahalli,845.0,2.0,37.0,2
1170,Bisuvanahalli,1075.0,2.0,47.0,3
1172,Bisuvanahalli,1075.0,2.0,50.0,3
1173,Bisuvanahalli,1075.0,2.0,52.0,3
1174,Bisuvanahalli,1180.0,2.0,46.0,3
1175,Bisuvanahalli,1075.0,2.0,42.0,3
1176,Bisuvanahalli,1075.0,2.0,43.0,3
1177,Bisuvanahalli,700.0,1.0,32.0,2
1178,Bisuvanahalli,1075.0,2.0,41.0,3
1182,Bisuvanahalli,1180.0,2.0,45.0,3
1183,Bisuvanahalli,1080.0,2.0,45.0,3
1184,Bisuvanahalli,1180.0,2.0,55.5,3
1185,Bisuvanahalli,1075.0,2.0,48.0,3
1186,Bisuvanahalli,1075.0,2.0,44.0,3
1189,Bisuvanahalli,1075.0,2.0,41.49,3
1190,Bisuvanahalli,845.0,2.0,34.0,2
1191,Bommanahalli,3000.0,8.0,140.0,8
1192,Bommanahalli,520.0,1.0,19.5,1
1193,Bommanahalli,515.0,1.0,25.0,1
1197,Bommanahalli,1850.0,3.0,90.0,3
1198,Bommanahalli,910.0,2.0,45.0,2
1200,Bommanahalli,1100.0,1.0,55.0,2
1202,Bommanahalli,1350.0,2.0,72.0,2
1206,Bommanahalli,1160.0,2.0,53.0,2
1207,Bommanahalli,1050.0,2.0,54.0,2
1208,Bommasandra,1260.0,3.0,49.36,3
1209,Bommasandra,1200.0,3.0,46.0,3
1210,Bommasandra,1035.0,2.0,41.0,2
1211,Bommasandra,1035.0,2.0,41.73,2
1212,Bommasandra,1034.0,2.0,40.0,2
1214,Bommasandra,920.0,2.0,37.46,2
1215,Bommasandra,1035.0,2.0,41.43,2
1216,Bommasandra,1295.0,2.0,50.28,3
1218,Bommasandra,1015.0,2.0,40.0,2
1221,Bommasandra,1005.0,2.0,39.77,2
1223,Bommasandra,1020.0,2.0,40.89,2
1224,Bommasandra,920.0,2.0,37.2,2
1225,Bommasandra,800.0,1.0,32.0,2
1226,Bommasandra,1280.0,3.0,50.0,3
1227,Bommasandra,1942.0,3.0,90.0,3
1228,Bommasandra,1127.0,2.0,45.0,2
1231,Bommasandra,1365.0,3.0,52.81,3
1233,Bommasandra,1365.0,3.0,52.82,3
1234,Bommasandra,955.0,2.0,37.97,2
1236,Bommasandra,1365.0,3.0,53.96,3
1237,Bommasandra Industrial Area,1090.0,2.0,31.48,2
1239,Bommasandra Industrial Area,1400.0,2.0,40.44,3
1240,Bommasandra Industrial Area,1320.0,2.0,38.13,3
1245,Bommasandra Industrial Area,1000.0,2.0,28.88,2
1246,Bommasandra Industrial Area,1160.0,2.0,33.51,2
1247,Bommasandra Industrial Area,1125.0,2.0,32.49,2
1250,Bommasandra Industrial Area,1130.0,2.0,32.64,2
1252,Bommenahalli,1200.0,3.0,125.0,3
1253,Bommenahalli,1632.0,3.0,145.0,4
1254,Bommenahalli,1670.0,3.0,135.0,4
1255,Bommenahalli,1680.0,3.0,135.0,4
1256,Bommenahalli,1632.0,3.0,128.0,4
1257,Bommenahalli,3339.0,3.0,250.0,3
1258,Bommenahalli,1355.0,3.0,135.0,4
1259,Bommenahalli,1232.0,3.0,96.0,3
1260,Bommenahalli,1632.0,3.0,140.0,4
1261,Brookefield,1150.0,2.0,69.0,2
1262,Brookefield,1142.0,2.0,70.0,2
1266,Brookefield,2800.0,4.0,240.0,4
1267,Brookefield,1476.0,3.0,105.0,3
1268,Brookefield,1700.0,4.0,152.0,4
1269,Brookefield,1262.0,2.0,75.0,2
1270,Brookefield,1139.0,2.0,80.0,2
1271,Brookefield,1125.0,2.0,70.0,2
1272,Brookefield,1420.0,3.0,85.0,3
1280,Brookefield,1950.0,6.0,175.0,5
1283,Brookefield,1200.0,2.0,75.0,2
1286,Brookefield,1270.0,2.0,95.0,2
1287,Brookefield,1706.0,3.0,115.0,3
1288,Brookefield,1389.0,2.0,94.0,2
1290,Brookefield,1225.0,2.0,72.0,2
1292,Brookefield,1746.0,3.0,115.0,3
1294,Brookefield,1560.0,3.0,149.0,4
1296,Brookefield,1382.0,2.0,84.5,2
1298,Brookefield,1206.0,2.0,90.0,2
1300,Brookefield,1594.0,3.0,140.0,3
1302,Budigere,1162.0,2.0,59.9,2
1303,Budigere,1991.0,4.0,103.0,3
1306,Budigere,764.0,1.0,32.0,1
1307,Budigere,1139.0,2.0,62.0,2
1312,Budigere,664.0,1.0,35.0,1
1313,Budigere,1820.0,3.0,93.0,3
1314,Budigere,1636.0,3.0,85.0,3
1317,Budigere,1139.0,2.0,60.0,2
1321,Budigere,1636.0,3.0,92.0,3
1324,Budigere,1149.0,2.0,65.0,2
1325,Budigere,664.0,1.0,35.4,1
1329,Budigere,1636.0,3.0,83.0,3
1330,Budigere,664.0,1.0,34.0,1
1332,Budigere,1153.0,2.0,60.0,2
1333,Budigere,1820.0,3.0,99.0,3
1336,Budigere,1820.0,3.0,95.0,3
1337,Budigere,1820.0,3.0,95.5,3
1339,Budigere,705.0,1.0,34.545,1
1342,Budigere,1636.0,3.0,88.0,3
1349,CV Raman Nagar,1392.0,2.0,98.0,2
1351,CV Raman Nagar,1825.0,3.0,126.0,3
1355,CV Raman Nagar,1560.0,2.0,85.0,2
1356,CV Raman Nagar,1590.0,2.0,85.0,3
1357,CV Raman Nagar,1100.0,2.0,58.0,2
1358,CV Raman Nagar,1051.0,2.0,61.0,2
1360,CV Raman Nagar,1020.0,2.0,55.0,2
1363,CV Raman Nagar,1392.0,2.0,95.0,2
1364,CV Raman Nagar,705.0,2.0,50.0,1
1366,CV Raman Nagar,1400.0,2.0,78.0,3
1370,Chamrajpet,1475.0,2.0,120.0,3
1371,Chamrajpet,1900.0,2.0,170.0,4
1372,Chamrajpet,1350.0,2.0,180.0,2
1373,Chamrajpet,1050.0,2.0,162.0,2
1374,Chamrajpet,1660.4,4.0,211.0,4
1375,Chamrajpet,505.0,1.0,85.0,1
1376,Chamrajpet,1565.0,3.0,98.91,3
1377,Chamrajpet,730.0,1.0,52.0,2
1378,Chamrajpet,650.0,1.0,40.0,2
1379,Chamrajpet,650.0,2.0,45.0,2
1380,Chamrajpet,1650.0,3.0,115.0,3
1382,Chandapura,645.0,1.0,16.45,1
1385,Chandapura,1208.0,3.0,45.0,3
1389,Chandapura,582.5,1.0,15.135,1
1391,Chandapura,1065.0,2.0,33.0,3
1392,Chandapura,1500.0,2.0,60.0,2
1394,Chandapura,590.0,1.0,13.57,1
1396,Chandapura,1107.0,2.0,43.0,3
1397,Chandapura,520.0,1.0,14.04,1
1403,Chandapura,1891.0,2.0,66.165,4
1404,Chandapura,1208.51,3.0,42.0,3
1405,Chandapura,876.0,2.0,29.5,2
1408,Chandapura,937.0,2.0,30.0,2
1409,Chandapura,800.0,2.0,25.0,2
1410,Chandapura,778.0,2.0,25.29,2
1414,Chandapura,922.0,2.0,36.0,2
1418,Chandapura,1080.0,2.0,45.0,2
1422,Chandapura,971.0,2.0,38.0,3
1423,Chandapura,3300.0,4.0,135.0,4
1424,Chandapura,800.0,1.0,30.0,2
1425,Chandapura,900.0,2.0,35.0,2
1426,Chandapura,1323.0,2.0,42.0,3
1427,Chandapura,410.0,1.0,10.0,1
1429,Chandapura,876.0,2.0,28.47,2
1432,Channasandra,1009.0,2.0,38.34,2
1434,Channasandra,1470.0,2.0,90.0,3
1439,Channasandra,1200.0,3.0,67.77,3
1441,Channasandra,1160.0,2.0,55.0,2
1442,Channasandra,1050.0,2.0,41.0,2
1443,Channasandra,1065.0,2.0,40.47,2
1448,Channasandra,808.0,2.0,40.0,2
1452,Channasandra,1500.0,4.0,89.45,4
1458,Channasandra,830.0,2.0,36.28,2
1459,Channasandra,1195.0,2.0,56.0,3
1461,Channasandra,1200.0,2.0,46.13,2
1463,Channasandra,1050.0,2.0,44.41,2
1465,Chikka Tirupathi,2600.0,5.0,120.0,4
1466,Chikka Tirupathi,2325.0,4.0,120.0,4
1467,Chikka Tirupathi,1808.0,4.0,80.27,3
1468,Chikka Tirupathi,3297.0,3.0,135.0,3
1469,Chikka Tirupathi,3500.0,5.0,150.0,4
1470,Chikka Tirupathi,2646.0,3.0,99.0,3
1471,Chikka Tirupathi,2704.0,5.0,105.0,4
1472,Chikka Tirupathi,2325.0,3.0,95.0,3
1473,Chikka Tirupathi,3250.0,4.0,136.0,4
1474,Chikka Tirupathi,2665.0,5.0,125.0,4
1475,Chikkabanavar,950.0,2.0,40.0,2
1476,Chikkabanavar,1600.0,2.0,80.0,3
1477,Chikkabanavar,600.0,1.0,25.0,2
1478,Chikkabanavar,2460.0,7.0,80.0,4
1479,Chikkabanavar,2400.0,4.0,97.0,5
1480,Chikkabanavar,2000.0,4.0,65.0,5
1481,Chikkabanavar,1067.0,2.0,38.0,2
1482,Chikkabanavar,1320.0,2.0,46.0,3
1483,Chikkabanavar,4000.0,7.0,110.0,8
1487,Chikkalasandra,875.0,2.0,52.8,2
1489,Chikkalasandra,1800.0,1.0,128.0,2
1492,Chikkalasandra,1428.0,2.0,80.0,3
1507,Chikkalasandra,1290.0,2.0,72.0,2
1514,Choodasandra,1197.0,2.0,63.0,2
1518,Choodasandra,1580.0,3.0,105.0,3
1519,Choodasandra,725.0,2.0,36.0,2
1520,Choodasandra,2429.0,3.0,210.0,4
1522,Choodasandra,1180.0,2.0,71.22,2
1523,Choodasandra,1140.0,2.0,62.0,2
1526,Cooke Town,3950.0,4.0,450.0,4
1527,Cooke Town,2388.0,4.0,239.0,3
1528,Cooke Town,1710.0,2.0,200.0,2
1529,Cooke Town,1310.0,2.0,111.0,2
1530,Cooke Town,3900.0,5.0,415.0,4
1531,Cooke Town,2560.0,4.0,310.0,3
1532,Cooke Town,2600.0,3.0,375.0,3
1533,Cooke Town,1100.0,2.0,90.0,2
1534,Cooke Town,2300.0,3.0,250.0,3
1535,Cox Town,1975.0,3.0,150.0,3
1536,Cox Town,1650.0,3.0,100.0,3
1537,Cox Town,1730.0,3.0,140.0,3
1538,Cox Town,1600.0,3.0,150.0,3
1539,Cox Town,1250.0,2.0,95.0,2
1540,Cox Town,1280.0,2.0,120.0,2
1541,Cox Town,1073.0,2.0,72.0,2
1542,Cox Town,1000.0,2.0,58.0,2
1543,Cox Town,1200.0,2.0,140.0,2
1544,Cunningham Road,5270.0,4.0,1250.0,4
1545,Cunningham Road,3875.0,3.0,864.0,3
1546,Cunningham Road,3875.0,3.0,800.0,3
1547,Cunningham Road,3815.0,3.0,763.0,3
1553,Cunningham Road,7500.0,6.0,1800.0,4
1555,Dasanapura,708.0,2.0,37.0,2
1556,Dasanapura,708.0,1.0,40.0,2
1559,Dasanapura,814.0,2.0,42.0,2
1560,Dasanapura,1163.0,2.0,65.0,2
1561,Dasanapura,1286.0,2.0,68.0,3
1563,Dasanapura,708.0,1.0,41.0,1
1564,Dasanapura,814.0,2.0,43.7,2
1567,Dasarahalli,1150.0,2.0,70.0,2
1568,Dasarahalli,2100.0,3.0,120.0,3
1571,Dasarahalli,1333.0,2.0,78.56,2
1573,Devanahalli,3210.0,2.0,192.0,4
1574,Devanahalli,1260.0,2.0,66.78,2
1575,Devanahalli,1282.0,2.0,68.52,3
1578,Devanahalli,1408.0,2.0,85.0,2
1579,Devanahalli,1010.0,2.0,51.0,2
1580,Devanahalli,1080.0,2.0,53.35,2
1584,Devanahalli,1174.0,2.0,59.0,2
1586,Devanahalli,658.0,1.0,34.0,1
1590,Devanahalli,1700.0,3.0,88.2,3
1591,Devanahalli,1498.0,3.0,79.15,3
1592,Devanahalli,1466.0,3.0,77.59,3
1593,Devanahalli,775.0,1.0,39.0,1
1594,Devanahalli,1020.0,2.0,49.87,1
1596,Devanahalli,1550.0,3.0,85.0,3
1599,Devanahalli,2125.0,3.0,107.0,3
1603,Devanahalli,1010.0,2.0,58.0,2
1606,Devanahalli,1075.0,2.0,52.57,1
1609,Devarachikkanahalli,1200.0,2.0,83.0,2
1611,Devarachikkanahalli,615.0,1.0,24.0,1
1612,Devarachikkanahalli,1230.0,2.0,58.0,2
1613,Devarachikkanahalli,1425.0,2.0,65.0,3
1614,Devarachikkanahalli,947.0,2.0,43.0,2
1616,Devarachikkanahalli,1417.0,2.0,76.0,3
1617,Devarachikkanahalli,1230.0,2.0,58.0,2
1618,Devarachikkanahalli,1705.0,3.0,75.0,3
1622,Dodda Nekkundi,1260.0,2.0,55.0,2
1624,Dodda Nekkundi,1390.0,2.0,60.0,2
1625,Dodda Nekkundi,1804.0,3.0,121.0,3
1626,Dodda Nekkundi,1080.0,2.0,50.0,2
1627,Dodda Nekkundi,1999.0,3.0,132.0,3
1628,Dodda Nekkundi,1100.0,2.0,48.0,2
1629,Dodda Nekkundi,1999.0,3.0,135.0,3
1631,Dodda Nekkundi,1252.0,2.0,71.0,3
1634,Dodda Nekkundi,1148.0,2.0,56.0,2
1637,Dodda Nekkundi,1829.0,3.0,125.0,3
1641,Dodda Nekkundi,1135.0,2.0,58.0,2
1643,Dodda Nekkundi,1370.0,2.0,60.0,2
1644,Dodda Nekkundi,1200.0,2.0,71.0,2
1645,Dodda Nekkundi,1585.0,2.0,79.0,3
1646,Dodda Nekkundi,1005.0,2.0,45.0,2
1648,Doddaballapur,1690.0,3.0,80.0,4
1649,Doddaballapur,4200.0,4.0,325.0,4
1650,Doddaballapur,3876.0,3.0,300.0,3
1651,Doddaballapur,2776.0,4.0,195.0,3
1652,Doddaballapur,2440.0,3.0,142.0,3
1653,Doddaballapur,2400.0,3.0,200.0,4
1654,Doddaballapur,654.0,1.0,49.0,1
1655,Doddaballapur,3206.0,5.0,270.0,4
1656,Doddakallasandra,1010.0,2.0,40.39,2
1657,Doddakallasandra,1360.0,2.0,54.39,3
1658,Doddakallasandra,1460.0,2.0,58.39,3
1659,Doddakallasandra,1360.0,2.0,54.4,3
1660,Doddakallasandra,1425.0,2.0,56.99,3
1661,Doddakallasandra,1072.0,2.0,42.87,2
1662,Doddakallasandra,1010.0,2.0,40.4,2
1663,Doddakallasandra,1010.0,2.0,41.0,2
1666,Doddathoguru,1030.0,2.0,42.0,2
1667,Doddathoguru,1549.0,3.0,65.0,3
1668,Doddathoguru,550.0,1.0,17.0,1
1672,Doddathoguru,750.0,1.0,25.5,1
1673,Doddathoguru,1595.0,3.0,62.0,3
1675,Doddathoguru,1105.0,2.0,50.0,2
1679,Doddathoguru,1100.0,2.0,50.0,2
1681,Doddathoguru,1382.0,3.0,65.0,3
1682,Doddathoguru,1107.0,2.0,44.0,2
1683,Doddathoguru,907.0,2.0,40.0,2
1684,Doddathoguru,1783.0,3.0,85.0,3
1685,Domlur,1540.0,3.0,90.0,3
1686,Domlur,1875.0,2.0,150.0,3
1687,Domlur,1429.0,3.0,86.0,3
1688,Domlur,640.0,1.0,55.0,1
1689,Domlur,1050.0,2.0,85.0,2
1690,Domlur,1800.0,3.0,150.0,3
1691,Domlur,1720.0,3.0,135.0,3
1692,Domlur,1950.0,3.0,165.0,3
1693,Domlur,2180.0,3.0,285.0,3
1694,Domlur,650.0,1.0,70.0,1
1695,Domlur,780.0,1.0,70.0,1
1696,Domlur,1740.0,3.0,120.0,3
1697,Domlur,1695.0,3.0,125.0,3
1698,Domlur,1246.0,2.0,95.0,2
1699,Domlur,2100.0,3.0,145.0,3
1700,Domlur,1276.0,2.0,80.0,2
1701,Domlur,1850.0,3.0,180.0,3
1702,Domlur,2955.0,3.0,235.0,3
1703,Domlur,1650.0,3.0,180.0,3
1706,Dommasandra,1267.0,3.0,56.0,3
1707,Dommasandra,1200.0,2.0,50.0,2
1710,Dommasandra,1153.0,2.0,43.5,2
1712,Dommasandra,1090.0,2.0,43.5,2
1717,EPIP Zone,1285.0,2.0,82.0,2
1719,EPIP Zone,1330.0,2.0,92.5,2
1720,EPIP Zone,1330.0,2.0,86.98,2
1721,EPIP Zone,1330.0,2.0,93.36,2
1726,EPIP Zone,1734.0,3.0,125.0,3
1728,EPIP Zone,1343.0,2.0,86.0,2
1730,EPIP Zone,1860.0,3.0,130.0,3
1731,EPIP Zone,2210.0,3.0,165.0,3
1739,Electronic City,1060.0,2.0,60.0,2
1740,Electronic City,1152.0,2.0,64.5,2
1742,Electronic City,770.0,1.0,36.0,2
1743,Electronic City,1070.0,2.0,52.0,2
1744,Electronic City,1025.0,2.0,46.0,2
1745,Electronic City,589.0,1.0,27.0,1
1747,Electronic City,910.0,2.0,40.0,2
1748,Electronic City,1108.0,2.0,63.0,2
1749,Electronic City,1128.0,2.0,65.0,2
1750,Electronic City,1800.0,3.0,95.0,3
1751,Electronic City,630.0,1.0,34.65,1
1752,Electronic City,1128.0,2.0,63.0,2
1753,Electronic City,1599.0,3.0,99.0,3
1756,Electronic City,1070.0,2.0,55.0,2
1757,Electronic City,940.0,2.0,41.0,2
1759,Electronic City,1128.0,2.0,68.75,2
1760,Electronic City,1342.0,2.0,73.3,2
1761,Electronic City,1360.0,2.0,71.0,3
1763,Electronic City,1265.0,2.0,56.93,2
1764,Electronic City,1691.0,2.0,102.0,3
1765,Electronic City,1128.0,2.0,65.49,2
1768,Electronic City,1070.0,2.0,56.1,2
1769,Electronic City,2000.0,4.0,120.0,4
1770,Electronic City,890.0,2.0,45.0,2
1771,Electronic City,1128.0,2.0,65.65,2
1772,Electronic City,865.0,2.0,42.0,2
1774,Electronic City,910.0,2.0,42.0,2
1776,Electronic City,1360.0,2.0,75.0,3
1777,Electronic City,770.0,1.0,40.0,2
1778,Electronic City,1128.0,2.0,64.0,2
1779,Electronic City,1070.0,2.0,54.0,2
1781,Electronic City,1571.0,3.0,89.0,3
1783,Electronic City,870.0,2.0,39.5,2
1785,Electronic City,1374.0,2.0,72.0,3
1787,Electronic City,1128.0,2.0,65.35,2
1788,Electronic City,755.0,1.0,34.0,2
1792,Electronic City,1563.0,3.0,91.84,3
1795,Electronic City,1025.0,2.0,54.5,2
1802,Electronic City,1128.0,2.0,68.0,2
1803,Electronic City,700.0,1.0,35.0,1
1804,Electronic City,1360.0,2.0,70.5,3
1806,Electronic City,1571.0,3.0,105.0,3
1810,Electronic City,1600.0,3.0,104.0,3
1812,Electronic City,1500.0,2.0,100.0,3
1816,Electronic City,1152.0,2.0,65.0,2
1817,Electronic City,1070.0,2.0,60.0,2
1818,Electronic City,1128.0,2.0,65.5,2
1819,Electronic City,1200.0,2.0,59.0,2
1820,Electronic City,1152.0,2.0,65.75,2
1822,Electronic City,1060.0,2.0,58.0,2
1823,Electronic City,1025.0,2.0,54.1,2
1828,Electronic City,1500.0,2.0,78.0,3
1829,Electronic City,1213.0,2.0,59.32,2
1830,Electronic City,1575.0,3.0,90.0,3
1831,Electronic City,435.0,1.0,19.5,1
1832,Electronic City,1449.0,3.0,100.0,3
1834,Electronic City,1125.0,2.0,58.0,2
1836,Electronic City,1575.0,3.0,101.0,3
1839,Electronic City,919.0,2.0,40.0,2
1840,Electronic City,1500.0,2.0,78.25,3
1841,Electronic City,1363.0,2.0,79.0,2
1843,Electronic City,1108.0,2.0,67.15,2
1845,Electronic City,1128.0,2.0,65.7,2
1847,Electronic City,1060.0,2.0,51.0,2
1849,Electronic City,1650.0,3.0,100.0,3
1851,Electronic City,1025.0,2.0,49.0,2
1853,Electronic City,1449.0,3.0,90.0,3
1855,Electronic City,1070.0,2.0,58.0,2
1856,Electronic City,1210.0,2.0,54.0,2
1857,Electronic City,1500.0,2.0,75.0,3
1859,Electronic City,2435.0,4.0,119.0,4
1864,Electronic City,1073.0,2.0,60.0,2
1865,Electronic City,1070.0,2.0,47.0,2
1866,Electronic City,1296.0,2.0,65.0,2
1867,Electronic City,1140.0,2.0,70.93,2
1872,Electronic City,2093.0,4.0,104.0,4
1873,Electronic City,1025.0,2.0,53.9,2
1874,Electronic City,940.0,2.0,54.0,2
1875,Electronic City,435.0,1.0,21.0,1
1876,Electronic City,1500.0,2.0,77.5,3
1877,Electronic City,1631.0,3.0,80.0,3
1878,Electronic City,1355.0,2.0,67.0,2
1881,Electronic City,435.0,1.0,22.0,1
1883,Electronic City,1039.0,2.0,50.0,2
1884,Electronic City,770.0,1.0,39.9,2
1889,Electronic City,1070.0,2.0,53.0,2
1892,Electronic City,1571.0,3.0,83.0,3
1894,Electronic City,1350.0,3.0,66.0,3
1895,Electronic City,1652.0,3.0,110.0,3
1899,Electronic City,1128.0,2.0,65.58,2
1900,Electronic City,1355.0,2.0,97.6,2
1901,Electronic City,635.0,1.0,28.0,1
1902,Electronic City,1128.0,2.0,65.4,2
1904,Electronic City,1355.0,2.0,72.9,2
1907,Electronic City,1609.0,3.0,115.0,3
1908,Electronic City,770.0,1.0,35.0,2
1909,Electronic City,865.0,2.0,40.0,2
1912,Electronic City,630.0,1.0,40.5,1
1917,Electronic City,1070.0,2.0,48.0,2
1919,Electronic City,1360.0,2.0,70.0,3
1920,Electronic City,1128.0,2.0,65.45,2
1921,Electronic City,890.0,2.0,40.0,2
1928,Electronic City,630.0,1.0,33.7,1
1931,Electronic City,1400.0,3.0,90.0,3
1933,Electronic City,1258.0,2.0,85.5,2
1934,Electronic City,1386.0,2.0,85.0,2
1935,Electronic City,550.0,1.0,27.0,1
1936,Electronic City,1025.0,2.0,50.0,2
1938,Electronic City,1342.0,2.0,72.0,2
1939,Electronic City,1275.0,3.0,70.0,3
1940,Electronic City,770.0,1.0,38.0,2
1944,Electronic City,1644.0,3.0,92.59,3
